species,source,family,class,guild,trophic,lmax,better_dist,bimodal,fished
Cirrhitichthys oxycephalus,rls,Cirrhitidae,Actinopterygii,tropical,Benthic invertivore,10,normal,FALSE,FALSE
Cirripectes alboapicalis,rls,Blenniidae,Actinopterygii,temperate,Browsing herbivore,12.3,lognormal,FALSE,FALSE
Cirripectes chelomatus,rls,Blenniidae,Actinopterygii,tropical,Browsing herbivore,12,normal,FALSE,FALSE
Cirripectes filamentosus,rls,Blenniidae,Actinopterygii,tropical,Browsing herbivore,9,normal,FALSE,FALSE
Cirripectes hutchinsi,rls,Blenniidae,Actinopterygii,temperate,Browsing herbivore,10.6,normal,FALSE,FALSE
Cirripectes stigmaticus,rls,Blenniidae,Actinopterygii,tropical,Browsing herbivore,13,normal,FALSE,FALSE
Coris auricularis,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,40,lognormal,FALSE,TRUE
Coris aurilineata,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,14,lognormal,FALSE,FALSE
Coris aygula,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,120,normal,FALSE,FALSE
Coris batuensis,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,17,normal,FALSE,FALSE
Coris bulbifrons,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,95,normal,FALSE,TRUE
Coris caudimacula,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,20,normal,FALSE,FALSE
Coris dorsomacula,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,20,normal,FALSE,FALSE
Coris gaimard,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,40,normal,FALSE,FALSE
Coris picta,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,25,normal,FALSE,FALSE
Coris pictoides,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,15,normal,FALSE,FALSE
Coris sandeyeri,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,25,lognormal,FALSE,FALSE
Ctenochaetus binotatus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,22,lognormal,FALSE,FALSE
Ctenochaetus cyanocheilus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,16,normal,FALSE,FALSE
Ctenochaetus striatus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,26,normal,FALSE,FALSE
Ctenochaetus truncatus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,16,normal,FALSE,FALSE
Ctenogobiops pomastictus,rls,Gobiidae,Actinopterygii,tropical,Benthic invertivore,8,normal,FALSE,FALSE
Dactylophora nigricans,rls,Cheilodactylidae,Actinopterygii,temperate,Benthic invertivore,120,normal,FALSE,TRUE
Dascyllus aruanus,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,10,normal,FALSE,FALSE
Dascyllus reticulatus,rls,Pomacentridae,Actinopterygii,tropical,Planktivore,9,normal,FALSE,FALSE
Dascyllus trimaculatus,rls,Pomacentridae,Actinopterygii,tropical,Planktivore,11,normal,FALSE,FALSE
Decapterus macarellus,rls,Carangidae,Actinopterygii,tropical,Higher carnivore,46,normal,FALSE,FALSE
Decapterus muroadsi,rls,Carangidae,Actinopterygii,temperate,Planktivore,50,normal,FALSE,FALSE
Diagramma pictum,rls,Haemulidae,Actinopterygii,tropical,Benthic invertivore,90,normal,FALSE,FALSE
Dicotylichthys punctulatus,rls,Diodontidae,Actinopterygii,temperate,Benthic invertivore,43,normal,FALSE,FALSE
Diodon nicthemerus,rls,Diodontidae,Actinopterygii,temperate,Benthic invertivore,40,lognormal,FALSE,FALSE
Diploprion bifasciatum,rls,Serranidae,Actinopterygii,tropical,Benthic invertivore,25,normal,FALSE,FALSE
Diproctacanthus xanthurus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,10,normal,FALSE,FALSE
Dischistodus darwiniensis,rls,Pomacentridae,Actinopterygii,tropical,Algal farmer,10.3,normal,FALSE,FALSE
Dischistodus melanotus,rls,Pomacentridae,Actinopterygii,tropical,Algal farmer,16,normal,FALSE,FALSE
Dischistodus perspicillatus,rls,Pomacentridae,Actinopterygii,tropical,Algal farmer,18,normal,FALSE,FALSE
Dischistodus prosopotaenia,rls,Pomacentridae,Actinopterygii,tropical,Algal farmer,17,normal,FALSE,FALSE
Dischistodus pseudochrysopoecilus,rls,Pomacentridae,Actinopterygii,tropical,Algal farmer,18,normal,FALSE,FALSE
Dotalabrus alleni,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,10,lognormal,FALSE,FALSE
Dotalabrus aurantiacus,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,15,normal,FALSE,FALSE
Elagatis bipinnulata,rls,Carangidae,Actinopterygii,tropical,Higher carnivore,180,normal,FALSE,FALSE
Engraulis australis,rls,Engraulidae,Actinopterygii,temperate,Planktivore,15,normal,FALSE,FALSE
Enoplosus armatus,rls,Enoplosidae,Actinopterygii,temperate,Benthic invertivore,50,lognormal,FALSE,TRUE
Epibulus insidiator,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,54,normal,FALSE,FALSE
Epinephelides armatus,rls,Serranidae,Actinopterygii,temperate,Higher carnivore,56,lognormal,FALSE,TRUE
Epinephelus fasciatus,rls,Serranidae,Actinopterygii,tropical,Benthic invertivore,40,normal,FALSE,TRUE
Epinephelus merra,rls,Serranidae,Actinopterygii,tropical,Higher carnivore,31,normal,FALSE,FALSE
Epinephelus quoyanus,rls,Serranidae,Actinopterygii,tropical,Higher carnivore,40,normal,FALSE,FALSE
Epinephelus rivulatus,rls,Serranidae,NA,tropical,Higher carnivore,46,normal,FALSE,FALSE
Epinephelus undulatostriatus,rls,Serranidae,Actinopterygii,temperate,Higher carnivore,61,normal,FALSE,FALSE
Eubalichthys bucephalus,rls,Monacanthidae,Actinopterygii,temperate,Browsing herbivore,50,normal,FALSE,TRUE
Eubalichthys gunnii,rls,Monacanthidae,Actinopterygii,temperate,Browsing herbivore,60,normal,FALSE,FALSE
Eubalichthys mosaicus,rls,Monacanthidae,Actinopterygii,temperate,Browsing herbivore,60,normal,FALSE,FALSE
Eupetrichthys angustipes,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,20,normal,FALSE,FALSE
Fistularia commersonii,rls,Fistulariidae,Actinopterygii,tropical,Higher carnivore,160,normal,FALSE,FALSE
Forcipiger flavissimus,rls,Chaetodontidae,Actinopterygii,tropical,Benthic invertivore,22,normal,FALSE,FALSE
Forsterygion varium,rls,Tripterygiidae,Actinopterygii,temperate,Benthic invertivore,15,lognormal,FALSE,FALSE
Fusigobius neophytus,rls,Gobiidae,Actinopterygii,tropical,Omnivore,7.5,normal,FALSE,FALSE
Gerres subfasciatus,rls,Gerreidae,Actinopterygii,temperate,Benthic invertivore,22,normal,FALSE,FALSE
Girella cyanea,rls,Kyphosidae,Actinopterygii,temperate,Browsing herbivore,76,normal,FALSE,FALSE
Girella elevata,rls,Kyphosidae,Actinopterygii,temperate,Browsing herbivore,76,lognormal,FALSE,TRUE
Girella tricuspidata,rls,Kyphosidae,Actinopterygii,temperate,Browsing herbivore,71,normal,FALSE,TRUE
Girella zebra,rls,Kyphosidae,Actinopterygii,temperate,Browsing herbivore,54,normal,FALSE,TRUE
Glaucosoma magnificum,rls,Glaucosomatidae,Actinopterygii,tropical,Benthic invertivore,32,normal,FALSE,FALSE
Gnathanodon speciosus,rls,Carangidae,Actinopterygii,tropical,Benthic invertivore,120,normal,FALSE,FALSE
Gnathodentex aureolineatus,rls,Lethrinidae,Actinopterygii,tropical,Benthic invertivore,30,normal,FALSE,FALSE
Gnatholepis anjerensis,rls,Gobiidae,Actinopterygii,tropical,Omnivore,8.4,normal,FALSE,FALSE
Gnatholepis cauerensis,rls,Gobiidae,Actinopterygii,tropical,Omnivore,9,normal,FALSE,FALSE
Gomphosus varius,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,30,normal,FALSE,FALSE
Gymnothorax prasinus,rls,Muraenidae,Actinopterygii,temperate,Benthic invertivore,97,normal,FALSE,FALSE
Haletta semifasciata,rls,Odacidae,Actinopterygii,temperate,Omnivore,41,normal,FALSE,FALSE
Halichoeres biocellatus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,12,normal,FALSE,FALSE
Halichoeres brownfieldi,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,15,lognormal,FALSE,FALSE
Halichoeres chloropterus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,19,normal,FALSE,FALSE
Halichoeres chrysus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,12,normal,FALSE,FALSE
Halichoeres erdmanni,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,18,lognormal,FALSE,FALSE
Halichoeres hartzfeldii,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,18,normal,FALSE,FALSE
Halichoeres hortulanus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,27,normal,FALSE,FALSE
Halichoeres margaritaceus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,12.5,normal,FALSE,FALSE
Halichoeres marginatus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,18,normal,FALSE,FALSE
Halichoeres melanochir,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,18,normal,FALSE,FALSE
Halichoeres melanurus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,12,normal,FALSE,FALSE
Halichoeres miniatus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,12,normal,FALSE,FALSE
Halichoeres nebulosus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,12,lognormal,FALSE,FALSE
Halichoeres nigrescens,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,14,lognormal,FALSE,FALSE
Halichoeres prosopeion,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,13,normal,FALSE,FALSE
Halichoeres trimaculatus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,27,normal,FALSE,FALSE
Hemiglyphidodon plagiometopon,rls,Pomacentridae,Actinopterygii,tropical,Planktivore,18,normal,FALSE,FALSE
Hemigymnus fasciatus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,80,normal,FALSE,TRUE
Hemigymnus melapterus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,90,lognormal,FALSE,TRUE
Hemitaurichthys polylepis,rls,Chaetodontidae,Actinopterygii,tropical,Planktivore,18,normal,FALSE,FALSE
Heniochus acuminatus,rls,Chaetodontidae,Actinopterygii,tropical,Planktivore,25,normal,FALSE,FALSE
Heniochus chrysostomus,rls,Chaetodontidae,Actinopterygii,tropical,Benthic invertivore,18,normal,FALSE,FALSE
Heniochus varius,rls,Chaetodontidae,Actinopterygii,tropical,Benthic invertivore,19,normal,FALSE,FALSE
Heterodontus portusjacksoni,rls,Heterodontidae,Elasmobranchii,temperate,Benthic invertivore,165,normal,FALSE,TRUE
Heteroscarus acroptilus,rls,Odacidae,Actinopterygii,temperate,Omnivore,40,normal,FALSE,FALSE
Hippocampus abdominalis,rls,Syngnathidae,Actinopterygii,temperate,Benthic invertivore,35,lognormal,FALSE,FALSE
Hipposcarus longiceps,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,60,normal,FALSE,FALSE
Hologymnosus annulatus,rls,Labridae,Actinopterygii,tropical,Higher carnivore,40,normal,FALSE,FALSE
Hyperlophus vittatus,rls,Clupeidae,Actinopterygii,temperate,Planktivore,10,normal,FALSE,FALSE
Hypoplectrodes nigroruber,rls,Serranidae,Actinopterygii,temperate,Benthic invertivore,30,normal,FALSE,FALSE
Hyporhamphus australis,rls,Hemiramphidae,Actinopterygii,temperate,Omnivore,39.8,normal,FALSE,TRUE
Hyporhamphus melanochir,rls,Hemiramphidae,Actinopterygii,temperate,Omnivore,52,normal,FALSE,TRUE
Istigobius decoratus,rls,Gobiidae,Actinopterygii,tropical,Omnivore,13,lognormal,FALSE,FALSE
Istigobius hoesei,rls,Gobiidae,Actinopterygii,temperate,Browsing herbivore,6,normal,FALSE,FALSE
Istigobius rigilius,rls,Gobiidae,Actinopterygii,tropical,Omnivore,10,normal,FALSE,FALSE
Koumansetta rainfordi,rls,Gobiidae,Actinopterygii,tropical,Omnivore,9,lognormal,FALSE,FALSE
Kyphosus bigibbus,rls,Kyphosidae,Actinopterygii,tropical,Browsing herbivore,75,normal,FALSE,FALSE
Kyphosus cinerascens,rls,Kyphosidae,Actinopterygii,tropical,Browsing herbivore,50,normal,FALSE,FALSE
Kyphosus cornelii,rls,Kyphosidae,Actinopterygii,temperate,Browsing herbivore,70,normal,FALSE,TRUE
Kyphosus sectatrix,rls,Kyphosidae,Actinopterygii,tropical,Browsing herbivore,76,normal,FALSE,FALSE
Kyphosus sydneyanus,rls,Kyphosidae,Actinopterygii,temperate,Browsing herbivore,86,normal,FALSE,TRUE
Kyphosus vaigiensis,rls,Kyphosidae,Actinopterygii,tropical,Browsing herbivore,90,normal,FALSE,FALSE
Labracinus lineatus,rls,Pseudochromidae,Actinopterygii,tropical,Benthic invertivore,25,normal,FALSE,FALSE
Labracoglossa nitida,rls,Kyphosidae,Actinopterygii,temperate,Planktivore,20,normal,FALSE,FALSE
Labrichthys unilineatus,rls,Labridae,Actinopterygii,tropical,Corallivore,17.5,lognormal,FALSE,FALSE
Labroides bicolor,rls,Labridae,Actinopterygii,tropical,Cleaner,15,lognormal,FALSE,FALSE
Labroides dimidiatus,rls,Labridae,Actinopterygii,tropical,Cleaner,14,lognormal,FALSE,FALSE
Labroides pectoralis,rls,Labridae,Actinopterygii,tropical,Cleaner,11,lognormal,FALSE,FALSE
Labropsis australis,rls,Labridae,Actinopterygii,tropical,Corallivore,10.5,normal,FALSE,FALSE
Latridopsis forsteri,rls,Latridae,Actinopterygii,temperate,Benthic invertivore,65,normal,FALSE,TRUE
Latropiscis purpurissatus,rls,Aulopidae,Actinopterygii,temperate,Higher carnivore,69,normal,FALSE,FALSE
Leptatherina presbyteroides,rls,Atherinidae,Actinopterygii,temperate,Browsing herbivore,11,normal,FALSE,FALSE
Lethrinus atkinsoni,rls,Lethrinidae,Actinopterygii,tropical,Benthic invertivore,50,normal,FALSE,FALSE
Lethrinus erythropterus,rls,Lethrinidae,Actinopterygii,tropical,Benthic invertivore,50,normal,FALSE,FALSE
Lethrinus laticaudis,rls,Lethrinidae,Actinopterygii,tropical,Higher carnivore,56,normal,FALSE,FALSE
Lethrinus lentjan,rls,Lethrinidae,Actinopterygii,tropical,Higher carnivore,52,normal,FALSE,FALSE
Lethrinus nebulosus,rls,Lethrinidae,Actinopterygii,tropical,Benthic invertivore,87,normal,FALSE,TRUE
Lethrinus obsoletus,rls,Lethrinidae,Actinopterygii,tropical,Benthic invertivore,60,normal,TRUE,FALSE
Lethrinus olivaceus,rls,Lethrinidae,Actinopterygii,tropical,Higher carnivore,100,normal,FALSE,FALSE
Lotella rhacina,rls,Moridae,Actinopterygii,temperate,Higher carnivore,50,normal,FALSE,FALSE
Lutjanus argentimaculatus,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,150,normal,FALSE,TRUE
Lutjanus bohar,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,90,normal,FALSE,TRUE
Lutjanus carponotatus,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,40,normal,FALSE,TRUE
Lutjanus decussatus,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,35,normal,FALSE,FALSE
Lutjanus erythropterus,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,81.6,normal,FALSE,TRUE
Lutjanus fulviflamma,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,35,normal,FALSE,TRUE
Lutjanus fulvus,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,40,normal,FALSE,FALSE
Lutjanus gibbus,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,50,normal,FALSE,FALSE
Lutjanus kasmira,rls,Lutjanidae,Actinopterygii,tropical,Benthic invertivore,40,normal,FALSE,TRUE
Lutjanus lemniscatus,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,65,normal,FALSE,FALSE
Lutjanus lutjanus,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,35,normal,FALSE,FALSE
Lutjanus monostigma,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,60,normal,FALSE,FALSE
Lutjanus quinquelineatus,rls,Lutjanidae,Actinopterygii,tropical,Benthic invertivore,38,normal,FALSE,TRUE
Lutjanus russellii,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,50,normal,FALSE,FALSE
Lutjanus vitta,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,40,normal,FALSE,TRUE
Macolor macularis,rls,Lutjanidae,Actinopterygii,tropical,Benthic invertivore,60,normal,FALSE,FALSE
Macolor niger,rls,Lutjanidae,Actinopterygii,tropical,Benthic invertivore,75,normal,FALSE,FALSE
Macropharyngodon choati,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,7.6,normal,FALSE,FALSE
Macropharyngodon meleagris,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,15,normal,FALSE,FALSE
Macropharyngodon negrosensis,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,12,normal,FALSE,FALSE
Macropharyngodon ornatus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,13,lognormal,FALSE,FALSE
Mecaenichthys immaculatus,rls,Pomacentridae,Actinopterygii,temperate,Planktivore,15,normal,FALSE,FALSE
Meiacanthus atrodorsalis,rls,Blenniidae,Actinopterygii,tropical,Benthic invertivore,11,lognormal,FALSE,FALSE
Meiacanthus grammistes,rls,Blenniidae,Actinopterygii,tropical,Benthic invertivore,11,lognormal,FALSE,FALSE
Meiacanthus lineatus,rls,Blenniidae,Actinopterygii,tropical,Benthic invertivore,9.5,normal,FALSE,FALSE
Meiacanthus phaeus,rls,Blenniidae,Actinopterygii,tropical,Browsing herbivore,8.458333333,lognormal,FALSE,FALSE
Melichthys niger,rls,Balistidae,Actinopterygii,tropical,Planktivore,50,lognormal,FALSE,FALSE
Melichthys vidua,rls,Balistidae,Actinopterygii,tropical,Benthic invertivore,40,normal,FALSE,FALSE
Mendosoma lineatum,rls,Latridae,Actinopterygii,temperate,Benthic invertivore,40,normal,FALSE,FALSE
Meuschenia australis,rls,Monacanthidae,Actinopterygii,temperate,Browsing herbivore,32,normal,TRUE,TRUE
Meuschenia flavolineata,rls,Monacanthidae,Actinopterygii,temperate,Browsing herbivore,30,normal,FALSE,TRUE
Meuschenia freycineti,rls,Monacanthidae,Actinopterygii,temperate,Browsing herbivore,60,normal,FALSE,TRUE
Meuschenia galii,rls,Monacanthidae,Actinopterygii,temperate,Browsing herbivore,35,normal,FALSE,TRUE
Meuschenia hippocrepis,rls,Monacanthidae,Actinopterygii,temperate,Browsing herbivore,51,normal,FALSE,TRUE
Meuschenia scaber,rls,Monacanthidae,Actinopterygii,temperate,Benthic invertivore,31,normal,FALSE,FALSE
Meuschenia trachylepis,rls,Monacanthidae,Actinopterygii,temperate,Browsing herbivore,40,normal,FALSE,TRUE
Meuschenia venusta,rls,Monacanthidae,Actinopterygii,temperate,Browsing herbivore,21,normal,FALSE,FALSE
Microcanthus strigatus,rls,Kyphosidae,Actinopterygii,temperate,Planktivore,16,normal,FALSE,FALSE
Monacanthus chinensis,rls,Monacanthidae,Actinopterygii,tropical,Browsing herbivore,38,lognormal,FALSE,FALSE
Monodactylus argenteus,rls,Monodactylidae,Actinopterygii,temperate,Benthic invertivore,27,normal,FALSE,FALSE
Monotaxis grandoculis,rls,Lethrinidae,Actinopterygii,tropical,Benthic invertivore,60,normal,FALSE,FALSE
Monotaxis heterodon,rls,Lethrinidae,Actinopterygii,tropical,Benthic invertivore,60,normal,FALSE,FALSE
Mugil cephalus,rls,Mugilidae,Actinopterygii,temperate,Omnivore,100,normal,FALSE,TRUE
Mulloidichthys flavolineatus,rls,Mullidae,Actinopterygii,tropical,Benthic invertivore,43,normal,FALSE,FALSE
Mulloidichthys vanicolensis,rls,Mullidae,Actinopterygii,tropical,Benthic invertivore,38,normal,FALSE,FALSE
Myripristis berndti,rls,Holocentridae,Actinopterygii,tropical,Planktivore,30,normal,FALSE,FALSE
Myripristis hexagona,rls,Holocentridae,Actinopterygii,tropical,Planktivore,30,normal,FALSE,FALSE
Myripristis kuntee,rls,Holocentridae,Actinopterygii,tropical,Planktivore,26,normal,FALSE,FALSE
Myripristis murdjan,rls,Holocentridae,Actinopterygii,tropical,Planktivore,60,normal,FALSE,FALSE
Myripristis violacea,rls,Holocentridae,Actinopterygii,tropical,Planktivore,35,normal,FALSE,FALSE
Myripristis vittata,rls,Holocentridae,Actinopterygii,tropical,Planktivore,25,normal,FALSE,FALSE
Naso annulatus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,100,normal,FALSE,FALSE
Naso brachycentron,rls,Acanthuridae,Actinopterygii,tropical,Omnivore,90,normal,FALSE,FALSE
Naso brevirostris,rls,Acanthuridae,Actinopterygii,tropical,Omnivore,60,normal,FALSE,FALSE
Naso caesius,rls,Acanthuridae,Actinopterygii,tropical,Omnivore,45.6,normal,FALSE,FALSE
Naso hexacanthus,rls,Acanthuridae,Actinopterygii,tropical,Planktivore,75,normal,FALSE,FALSE
Naso lituratus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,46,normal,FALSE,FALSE
Naso tonganus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,60,normal,FALSE,FALSE
Naso unicornis,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,70,normal,FALSE,FALSE
Naso vlamingii,rls,Acanthuridae,Actinopterygii,tropical,Omnivore,60,normal,FALSE,FALSE
Neatypus obliquus,rls,Kyphosidae,Actinopterygii,temperate,Browsing herbivore,24,lognormal,FALSE,FALSE
Nelusetta ayraud,rls,Monacanthidae,Actinopterygii,temperate,Browsing herbivore,71,normal,FALSE,TRUE
Nemadactylus douglasii,rls,Cheilodactylidae,Actinopterygii,temperate,Benthic invertivore,74,lognormal,FALSE,TRUE
Nemadactylus macropterus,rls,Cheilodactylidae,Actinopterygii,temperate,Benthic invertivore,70,normal,FALSE,TRUE
Nemadactylus valenciennesi,rls,Cheilodactylidae,Actinopterygii,temperate,Benthic invertivore,90,normal,FALSE,TRUE
Nemateleotris magnifica,rls,Microdesmidae,Actinopterygii,tropical,Planktivore,9,normal,FALSE,FALSE
Neoglyphidodon melas,rls,Pomacentridae,Actinopterygii,tropical,Browsing herbivore,18,normal,FALSE,FALSE
Neoglyphidodon nigroris,rls,Pomacentridae,Actinopterygii,tropical,Algal farmer,13,normal,FALSE,FALSE
Neoglyphidodon polyacanthus,rls,Pomacentridae,Actinopterygii,temperate,Omnivore,12,normal,FALSE,FALSE
