species,source,family,class,guild,trophic,lmax,better_dist,bimodal,fished
Neoniphon sammara,rls,Holocentridae,Actinopterygii,tropical,Benthic invertivore,32,normal,FALSE,FALSE
Neoodax balteatus,rls,Odacidae,Actinopterygii,temperate,Omnivore,14,normal,FALSE,FALSE
Neopomacentrus bankieri,rls,Pomacentridae,Actinopterygii,tropical,Planktivore,8,normal,FALSE,FALSE
Notocirrhitus splendens,rls,Cirrhitidae,Actinopterygii,temperate,Benthic invertivore,20,normal,FALSE,FALSE
Notolabrus fucicola,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,40,normal,FALSE,TRUE
Notolabrus gymnogenis,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,49,lognormal,FALSE,TRUE
Notolabrus inscriptus,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,50,normal,FALSE,FALSE
Notolabrus parilus,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,49,lognormal,FALSE,TRUE
Notolabrus tetricus,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,50,normal,FALSE,TRUE
Odonus niger,rls,Balistidae,Actinopterygii,tropical,Planktivore,50,normal,FALSE,FALSE
Olisthops cyanomelas,rls,Odacidae,Actinopterygii,temperate,Browsing herbivore,55,normal,FALSE,TRUE
Ophthalmolepis lineolatus,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,41,normal,FALSE,TRUE
Optivus agastos,rls,Trachichthyidae,Actinopterygii,temperate,Benthic invertivore,12,normal,FALSE,FALSE
Orectolobus halei,rls,Orectolobidae,Elasmobranchii,temperate,Higher carnivore,300,normal,FALSE,FALSE
Orectolobus maculatus,rls,Orectolobidae,Elasmobranchii,temperate,Higher carnivore,320,normal,FALSE,FALSE
Orectolobus ornatus,rls,Orectolobidae,Elasmobranchii,temperate,Higher carnivore,290,lognormal,FALSE,FALSE
Ostorhinchus compressus,rls,Apogonidae,Actinopterygii,tropical,Benthic invertivore,12,normal,FALSE,FALSE
Ostorhinchus nigrofasciatus,rls,Apogonidae,Actinopterygii,tropical,Benthic invertivore,11,normal,FALSE,FALSE
Ostorhinchus norfolcensis,rls,Apogonidae,Actinopterygii,temperate,Benthic invertivore,15,normal,FALSE,FALSE
Ostorhinchus rueppellii,rls,Apogonidae,Actinopterygii,tropical,Benthic invertivore,12,normal,FALSE,FALSE
Ostorhinchus wassinki,rls,Apogonidae,Actinopterygii,tropical,Benthic invertivore,7,normal,FALSE,FALSE
Ostracion cubicus,rls,Ostraciidae,Actinopterygii,tropical,Benthic invertivore,45,normal,FALSE,FALSE
Ostracion meleagris,rls,Ostraciidae,Actinopterygii,tropical,Benthic invertivore,25,normal,FALSE,FALSE
Oxycheilinus bimaculatus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,15,lognormal,FALSE,FALSE
Oxycheilinus digramma,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,40,normal,FALSE,FALSE
Oxycheilinus unifasciatus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,46,lognormal,FALSE,FALSE
Oxymonacanthus longirostris,rls,Monacanthidae,Actinopterygii,tropical,Corallivore,12,lognormal,FALSE,FALSE
Parablennius serratolineatus,rls,Blenniidae,Actinopterygii,temperate,Browsing herbivore,12.5,normal,FALSE,FALSE
Parablennius tasmanianus,rls,Blenniidae,Actinopterygii,temperate,Browsing herbivore,13,normal,FALSE,FALSE
Paracaesio xanthura,rls,Lutjanidae,Actinopterygii,tropical,Planktivore,50,normal,FALSE,FALSE
Paracanthurus hepatus,rls,Acanthuridae,Actinopterygii,tropical,Omnivore,31,normal,FALSE,FALSE
Paracirrhites arcatus,rls,Cirrhitidae,Actinopterygii,tropical,Benthic invertivore,20,lognormal,FALSE,FALSE
Paracirrhites forsteri,rls,Cirrhitidae,Actinopterygii,tropical,Higher carnivore,22,lognormal,FALSE,FALSE
Paraluteres prionurus,rls,Monacanthidae,Actinopterygii,tropical,Omnivore,11,normal,FALSE,FALSE
Parapercis australis,rls,Pinguipedidae,Actinopterygii,tropical,Benthic invertivore,24,normal,FALSE,FALSE
Parapercis clathrata,rls,Pinguipedidae,Actinopterygii,tropical,Benthic invertivore,24,normal,FALSE,FALSE
Parapercis haackei,rls,Pinguipedidae,Actinopterygii,temperate,Benthic invertivore,11,normal,FALSE,FALSE
Parapercis queenslandica,rls,Pinguipedidae,Actinopterygii,tropical,Benthic invertivore,29,normal,FALSE,FALSE
Parapercis ramsayi,rls,Pinguipedidae,Actinopterygii,temperate,Benthic invertivore,20,normal,FALSE,FALSE
Paraplesiops meleagris,rls,Plesiopidae,Actinopterygii,temperate,Benthic invertivore,36,normal,FALSE,FALSE
Parapriacanthus elongatus,rls,Pempheridae,Actinopterygii,temperate,Benthic invertivore,14,lognormal,FALSE,FALSE
Parequula melbournensis,rls,Gerreidae,Actinopterygii,temperate,Benthic invertivore,22,normal,FALSE,FALSE
Parma mccullochi,rls,Pomacentridae,Actinopterygii,temperate,Browsing herbivore,30,normal,FALSE,FALSE
Parma microlepis,rls,Pomacentridae,Actinopterygii,temperate,Browsing herbivore,20,normal,FALSE,FALSE
Parma occidentalis,rls,Pomacentridae,Actinopterygii,temperate,Browsing herbivore,30,normal,FALSE,FALSE
Parma oligolepis,rls,Pomacentridae,Actinopterygii,temperate,Algal farmer,20,normal,FALSE,FALSE
Parma polylepis,rls,Pomacentridae,Actinopterygii,temperate,Algal farmer,21,normal,FALSE,FALSE
Parma unifasciata,rls,Pomacentridae,Actinopterygii,temperate,Browsing herbivore,20,normal,FALSE,FALSE
Parma victoriae,rls,Pomacentridae,Actinopterygii,temperate,Browsing herbivore,25,normal,FALSE,FALSE
Parupeneus barberinoides,rls,Mullidae,Actinopterygii,tropical,Benthic invertivore,30,lognormal,FALSE,TRUE
Parupeneus barberinus,rls,Mullidae,Actinopterygii,tropical,Benthic invertivore,60,normal,TRUE,FALSE
Parupeneus chrysopleuron,rls,Mullidae,Actinopterygii,tropical,Benthic invertivore,55,normal,FALSE,FALSE
Parupeneus ciliatus,rls,Mullidae,Actinopterygii,tropical,Benthic invertivore,38,normal,TRUE,FALSE
Parupeneus crassilabris,rls,Mullidae,Actinopterygii,tropical,Benthic invertivore,35,normal,TRUE,TRUE
Parupeneus cyclostomus,rls,Mullidae,Actinopterygii,tropical,Higher carnivore,50,lognormal,FALSE,FALSE
Parupeneus indicus,rls,Mullidae,Actinopterygii,tropical,Benthic invertivore,45,normal,FALSE,FALSE
Parupeneus multifasciatus,rls,Mullidae,Actinopterygii,tropical,Benthic invertivore,35,lognormal,FALSE,TRUE
Parupeneus pleurostigma,rls,Mullidae,Actinopterygii,tropical,Benthic invertivore,33,normal,FALSE,FALSE
Parupeneus spilurus,rls,Mullidae,Actinopterygii,temperate,Benthic invertivore,47,lognormal,FALSE,TRUE
Pelates octolineatus,rls,Terapontidae,Actinopterygii,temperate,Benthic invertivore,28,normal,FALSE,FALSE
Pelates quadrilineatus,rls,Terapontidae,Actinopterygii,temperate,Benthic invertivore,30,normal,FALSE,FALSE
Pelates sexlineatus,rls,Terapontidae,Actinopterygii,temperate,Benthic invertivore,20,normal,FALSE,FALSE
Pelsartia humeralis,rls,Terapontidae,Actinopterygii,temperate,Benthic invertivore,38,normal,FALSE,FALSE
Pempheris affinis,rls,Pempheridae,Actinopterygii,temperate,Benthic invertivore,17,normal,FALSE,FALSE
Pempheris analis,rls,Pempheridae,Actinopterygii,tropical,Benthic invertivore,20,normal,FALSE,FALSE
Pempheris compressa,rls,Pempheridae,Actinopterygii,temperate,Benthic invertivore,20,normal,FALSE,FALSE
Pempheris klunzingeri,rls,Pempheridae,Actinopterygii,temperate,Benthic invertivore,21,normal,FALSE,FALSE
Pempheris molucca,rls,Pempheridae,Actinopterygii,tropical,Benthic invertivore,15,normal,FALSE,FALSE
Pempheris multiradiata,rls,Pempheridae,Actinopterygii,temperate,Benthic invertivore,28,lognormal,FALSE,FALSE
Pempheris ornata,rls,Pempheridae,Actinopterygii,temperate,Benthic invertivore,7.5,normal,FALSE,FALSE
Pempheris oualensis,rls,Pempheridae,Actinopterygii,tropical,Benthic invertivore,20,normal,FALSE,FALSE
Pempheris schwenkii,rls,Pempheridae,Actinopterygii,tropical,Benthic invertivore,15,normal,FALSE,FALSE
Pentaceropsis recurvirostris,rls,Pentacerotidae,Actinopterygii,temperate,Benthic invertivore,61,normal,FALSE,FALSE
Pentapodus paradiseus,rls,Nemipteridae,Actinopterygii,tropical,Benthic invertivore,30,lognormal,FALSE,FALSE
Pentapodus porosus,rls,Nemipteridae,Actinopterygii,tropical,Benthic invertivore,27,normal,FALSE,FALSE
Pentapodus vitta,rls,Nemipteridae,Actinopterygii,tropical,Benthic invertivore,31,normal,FALSE,FALSE
Pervagor janthinosoma,rls,Monacanthidae,Actinopterygii,tropical,Omnivore,13,lognormal,FALSE,FALSE
Pictichromis paccagnellae,rls,Pseudochromidae,Actinopterygii,tropical,Benthic invertivore,7,normal,FALSE,FALSE
Pictilabrus laticlavius,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,30,normal,FALSE,TRUE
Pictilabrus viridis,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,14,lognormal,FALSE,FALSE
Plagiotremus laudandus,rls,Blenniidae,Actinopterygii,tropical,Cleaner,8,normal,FALSE,FALSE
Plagiotremus rhinorhynchos,rls,Blenniidae,Actinopterygii,tropical,Cleaner,12,lognormal,FALSE,FALSE
Plagiotremus tapeinosoma,rls,Blenniidae,Actinopterygii,tropical,Cleaner,14,lognormal,FALSE,FALSE
Platax teira,rls,Ephippidae,Actinopterygii,tropical,Benthic invertivore,70,normal,FALSE,FALSE
Plectorhinchus chaetodonoides,rls,Haemulidae,Actinopterygii,tropical,Benthic invertivore,72,normal,FALSE,FALSE
Plectorhinchus flavomaculatus,rls,Haemulidae,Actinopterygii,tropical,Benthic invertivore,60,normal,FALSE,TRUE
Plectorhinchus multivittatus,rls,Haemulidae,Actinopterygii,tropical,Benthic invertivore,50,normal,FALSE,FALSE
Plectorhinchus picus,rls,Haemulidae,Actinopterygii,tropical,Benthic invertivore,84,normal,FALSE,FALSE
Plectroglyphidodon dickii,rls,Pomacentridae,Actinopterygii,tropical,Benthic invertivore,11,lognormal,FALSE,FALSE
Plectroglyphidodon johnstonianus,rls,Pomacentridae,Actinopterygii,tropical,Benthic invertivore,14,lognormal,FALSE,FALSE
Plectropomus laevis,rls,Serranidae,Actinopterygii,tropical,Higher carnivore,125,normal,FALSE,TRUE
Plectropomus leopardus,rls,Serranidae,Actinopterygii,tropical,Higher carnivore,120,normal,TRUE,TRUE
Plectropomus maculatus,rls,Serranidae,Actinopterygii,tropical,Higher carnivore,100,normal,FALSE,TRUE
Plotosus lineatus,rls,Plotosidae,Actinopterygii,tropical,Benthic invertivore,35,lognormal,FALSE,FALSE
Pomacanthus imperator,rls,Pomacanthidae,Actinopterygii,tropical,Omnivore,40,normal,FALSE,FALSE
Pomacanthus semicirculatus,rls,Pomacanthidae,Actinopterygii,tropical,Omnivore,40,normal,FALSE,FALSE
Pomacanthus sexstriatus,rls,Pomacanthidae,Actinopterygii,tropical,Benthic invertivore,46,normal,FALSE,FALSE
Pomacentrus adelus,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,8.5,normal,FALSE,FALSE
Pomacentrus alexanderae,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,9,normal,FALSE,FALSE
Pomacentrus amboinensis,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,9,normal,FALSE,FALSE
Pomacentrus australis,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,8,normal,FALSE,FALSE
Pomacentrus bankanensis,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,9,normal,FALSE,FALSE
Pomacentrus brachialis,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,8,normal,FALSE,FALSE
Pomacentrus chrysurus,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,9,normal,FALSE,FALSE
Pomacentrus coelestis,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,9,lognormal,FALSE,FALSE
Pomacentrus grammorhynchus,rls,Pomacentridae,Actinopterygii,tropical,Algal farmer,9,normal,FALSE,FALSE
Pomacentrus imitator,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,11,lognormal,FALSE,FALSE
Pomacentrus lepidogenys,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,9,lognormal,FALSE,FALSE
Pomacentrus milleri,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,7.5,normal,FALSE,FALSE
Pomacentrus moluccensis,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,9,normal,FALSE,FALSE
Pomacentrus nagasakiensis,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,10,normal,FALSE,FALSE
Pomacentrus nigromanus,rls,Pomacentridae,Actinopterygii,tropical,Browsing herbivore,9,normal,FALSE,FALSE
Pomacentrus philippinus,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,10,normal,FALSE,FALSE
Pomacentrus reidi,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,9,normal,FALSE,FALSE
Pomacentrus vaiuli,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,10,normal,FALSE,FALSE
Pomacentrus wardi,rls,Pomacentridae,Actinopterygii,tropical,Algal farmer,8,normal,FALSE,FALSE
Pomatomus saltatrix,rls,Pomatomidae,Actinopterygii,temperate,Higher carnivore,130,normal,FALSE,TRUE
Priacanthus blochii,rls,Priacanthidae,Actinopterygii,tropical,Higher carnivore,35,normal,FALSE,FALSE
Priacanthus hamrur,rls,Priacanthidae,Actinopterygii,tropical,Benthic invertivore,45,normal,FALSE,FALSE
Prionurus maculatus,rls,Acanthuridae,Actinopterygii,temperate,Browsing herbivore,45,normal,FALSE,TRUE
Prionurus microlepidotus,rls,Acanthuridae,Actinopterygii,temperate,Browsing herbivore,70,normal,FALSE,TRUE
Psammoperca waigiensis,rls,Latidae,Actinopterygii,tropical,Benthic invertivore,47,normal,FALSE,TRUE
Pseudanthias dispar,rls,Serranidae,Actinopterygii,tropical,Planktivore,9.5,normal,FALSE,FALSE
Pseudanthias fasciatus,rls,Serranidae,Actinopterygii,temperate,Planktivore,13,normal,FALSE,FALSE
Pseudanthias hypselosoma,rls,Serranidae,Actinopterygii,tropical,Planktivore,19,normal,FALSE,FALSE
Pseudanthias pascalus,rls,Serranidae,Actinopterygii,tropical,Planktivore,20,normal,FALSE,FALSE
Pseudanthias pictilis,rls,Serranidae,Actinopterygii,temperate,Planktivore,13.5,normal,FALSE,FALSE
Pseudanthias rubrizonatus,rls,Serranidae,Actinopterygii,temperate,Planktivore,12,normal,FALSE,FALSE
Pseudanthias squamipinnis,rls,Serranidae,Actinopterygii,tropical,Planktivore,15,normal,FALSE,FALSE
Pseudanthias tuka,rls,Serranidae,Actinopterygii,tropical,Planktivore,12,lognormal,FALSE,FALSE
Pseudocaranx georgianus,rls,Carangidae,Actinopterygii,temperate,Benthic invertivore,55,normal,FALSE,TRUE
Pseudocaranx wrighti,rls,Carangidae,Actinopterygii,temperate,Benthic invertivore,70,normal,FALSE,TRUE
Pseudocheilinus evanidus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,8,normal,FALSE,FALSE
Pseudocheilinus hexataenia,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,10,lognormal,FALSE,FALSE
Pseudocheilinus octotaenia,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,14,lognormal,FALSE,FALSE
Pseudochromis fuscus,rls,Pseudochromidae,Actinopterygii,tropical,Benthic invertivore,10,normal,FALSE,FALSE
Pseudocoris yamashiroi,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,16,normal,FALSE,FALSE
Pseudogoniistius nigripes,rls,Cheilodactylidae,Actinopterygii,temperate,Benthic invertivore,41,normal,FALSE,FALSE
Pseudolabrus biserialis,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,25,normal,FALSE,FALSE
Pseudolabrus guentheri,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,18,normal,FALSE,TRUE
Pseudolabrus luculentus,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,25,normal,FALSE,FALSE
Pseudolabrus rubicundus,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,28,normal,FALSE,FALSE
Pseudophycis bachus,rls,Moridae,Actinopterygii,temperate,Higher carnivore,90,normal,FALSE,FALSE
Ptereleotris microlepis,rls,Microdesmidae,Actinopterygii,tropical,Planktivore,13,normal,FALSE,FALSE
Ptereleotris monoptera,rls,Microdesmidae,Actinopterygii,temperate,Planktivore,12,normal,FALSE,FALSE
Ptereleotris zebra,rls,Microdesmidae,Actinopterygii,tropical,Planktivore,12,normal,FALSE,FALSE
Pterocaesio digramma,rls,Caesionidae,Actinopterygii,tropical,Planktivore,30,normal,FALSE,FALSE
Pterocaesio marri,rls,Caesionidae,Actinopterygii,tropical,Planktivore,35,normal,FALSE,FALSE
Pterocaesio pisang,rls,Caesionidae,Actinopterygii,tropical,Planktivore,21,normal,FALSE,FALSE
Pterocaesio tile,rls,Caesionidae,Actinopterygii,tropical,Planktivore,30,normal,FALSE,FALSE
Pterocaesio trilineata,rls,Caesionidae,Actinopterygii,tropical,Planktivore,20,normal,FALSE,FALSE
Pygoplites diacanthus,rls,Pomacanthidae,Actinopterygii,tropical,Benthic invertivore,25,normal,FALSE,FALSE
Rhabdosargus sarba,rls,Sparidae,Actinopterygii,temperate,Benthic invertivore,80,lognormal,FALSE,TRUE
Salarias fasciatus,rls,Blenniidae,Actinopterygii,tropical,Browsing herbivore,14,lognormal,FALSE,FALSE
Sarda australis,rls,Scombridae,Actinopterygii,temperate,Higher carnivore,180,normal,FALSE,TRUE
Sardinops neopilchardus,rls,Clupeidae,Actinopterygii,temperate,Planktivore,25,normal,FALSE,FALSE
Sargocentron caudimaculatum,rls,Holocentridae,Actinopterygii,tropical,Benthic invertivore,25,normal,FALSE,FALSE
Sargocentron rubrum,rls,Holocentridae,Actinopterygii,tropical,Benthic invertivore,32,normal,FALSE,FALSE
Sargocentron spiniferum,rls,Holocentridae,Actinopterygii,tropical,Benthic invertivore,51,normal,FALSE,FALSE
Scarus altipinnis,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,60,normal,FALSE,FALSE
Scarus chameleon,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,31,normal,FALSE,FALSE
Scarus dimidiatus,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,40,normal,FALSE,FALSE
Scarus flavipectoralis,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,40,normal,FALSE,FALSE
Scarus forsteni,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,55,normal,FALSE,FALSE
Scarus frenatus,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,47,normal,FALSE,FALSE
Scarus ghobban,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,90,lognormal,FALSE,FALSE
Scarus globiceps,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,27,normal,FALSE,FALSE
Scarus longipinnis,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,40,lognormal,FALSE,FALSE
Scarus niger,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,40,normal,FALSE,FALSE
Scarus oviceps,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,35,normal,FALSE,FALSE
Scarus prasiognathos,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,70,normal,TRUE,FALSE
Scarus psittacus,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,30,normal,FALSE,FALSE
Scarus rivulatus,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,40,normal,FALSE,FALSE
Scarus rubroviolaceus,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,70,normal,FALSE,FALSE
Scarus schlegeli,rls,Scaridae,Actinopterygii,tropical,Scraping herbivore,40,normal,FALSE,FALSE
Schuettea scalaripinnis,rls,Monodactylidae,Actinopterygii,temperate,Planktivore,20,normal,FALSE,FALSE
Schuettea woodwardi,rls,Monodactylidae,Actinopterygii,temperate,Planktivore,24,normal,FALSE,FALSE
Scobinichthys granulatus,rls,Monacanthidae,Actinopterygii,temperate,Browsing herbivore,30,normal,FALSE,TRUE
Scolopsis bilineata,rls,Nemipteridae,Actinopterygii,tropical,Benthic invertivore,23,normal,FALSE,FALSE
Scolopsis lineata,rls,Nemipteridae,Actinopterygii,tropical,Benthic invertivore,23,normal,FALSE,FALSE
Scolopsis margaritifer,rls,Nemipteridae,Actinopterygii,tropical,Benthic invertivore,28,normal,FALSE,FALSE
Scolopsis monogramma,rls,Nemipteridae,Actinopterygii,tropical,Benthic invertivore,31,normal,FALSE,FALSE
Scomber australasicus,rls,Scombridae,Actinopterygii,temperate,Higher carnivore,50,normal,FALSE,TRUE
Scomberoides lysan,rls,Carangidae,Actinopterygii,tropical,Higher carnivore,110,normal,FALSE,FALSE
Scorpaena cardinalis,rls,Scorpaenidae,Actinopterygii,temperate,Benthic invertivore,40,normal,FALSE,FALSE
Scorpaena jacksoniensis,rls,Scorpaenidae,Actinopterygii,temperate,Benthic invertivore,40,normal,FALSE,FALSE
Scorpis aequipinnis,rls,Kyphosidae,Actinopterygii,temperate,Planktivore,56,normal,FALSE,TRUE
Scorpis georgiana,rls,Kyphosidae,Actinopterygii,temperate,Planktivore,46,normal,FALSE,TRUE
Scorpis lineolata,rls,Kyphosidae,Actinopterygii,temperate,Planktivore,37,normal,FALSE,TRUE
Scorpis violacea,rls,Kyphosidae,Actinopterygii,temperate,Planktivore,34.5,normal,FALSE,FALSE
Selaroides leptolepis,rls,Carangidae,Actinopterygii,tropical,Planktivore,22,normal,FALSE,FALSE
Selenotoca multifasciata,rls,Scatophagidae,Actinopterygii,temperate,Benthic invertivore,40,normal,FALSE,FALSE
Seriola hippos,rls,Carangidae,Actinopterygii,temperate,Higher carnivore,150,normal,FALSE,FALSE
Seriola lalandi,rls,Carangidae,Actinopterygii,temperate,Higher carnivore,250,normal,FALSE,TRUE
Seriolella brama,rls,Centrolophidae,Actinopterygii,temperate,Planktivore,76,normal,FALSE,TRUE
Serranocirrhitus latus,rls,Serranidae,Actinopterygii,tropical,Benthic invertivore,13,normal,FALSE,FALSE
Siganus argenteus,rls,Siganidae,Actinopterygii,tropical,Browsing herbivore,40,normal,FALSE,FALSE
Siganus corallinus,rls,Siganidae,Actinopterygii,tropical,Browsing herbivore,35,normal,FALSE,FALSE
Siganus doliatus,rls,Siganidae,Actinopterygii,tropical,Browsing herbivore,25,normal,FALSE,FALSE
Siganus fuscescens,rls,Siganidae,Actinopterygii,tropical,Browsing herbivore,40,normal,FALSE,FALSE
